formula,d,eps,Delta,speedup,incr wall time,time per portion
Psi 6,128,2,4,14.660509024796886,0.0021297399999999998,6.655437499999999e-05
Psi 6,128,2,8,7.775055471037077,0.00206178,0.00012886125
Psi 6,128,2,16,4.236091609010222,0.00201067,0.00025133375
Psi 6,128,2,32,2.3633945242262033,0.00201285,0.0005032125
Psi 6,128,4,8,7.8974285788140115,0.00327764,0.0002048525
Psi 6,128,4,16,4.3073062744079,0.0031828,0.00039785
Psi 6,128,4,32,2.3838801522732425,0.00321936,0.00080484
Psi 6,128,8,16,4.197562241007337,0.00691018,0.0008637725
Psi 6,128,8,32,2.315276054475248,0.00703662,0.001759155
Psi 6,256,2,4,29.15011031068454,0.00425004,6.6406875e-05
Psi 6,256,2,8,15.182556301191475,0.00412734,0.000128979375
Psi 6,256,2,16,8.095398948110118,0.00398834,0.00024927125
Psi 6,256,2,32,4.266873634236081,0.00402285,0.00050285625
Psi 6,256,4,8,15.449722550522086,0.00662721,0.0002071003125
Psi 6,256,4,16,8.186773324609348,0.0064329800000000005,0.00040206125000000003
Psi 6,256,4,32,4.268894570507803,0.00654426,0.0008180325
Psi 6,256,8,16,8.057464408064515,0.01436681,0.000897925625
Psi 6,256,8,32,4.21680784630895,0.014528039999999999,0.0018160049999999999
Psi 6,512,2,4,57.63995066081634,0.00866573,6.7701015625e-05
Psi 6,512,2,8,30.172142024572885,0.00832813,0.00013012703125
Psi 6,512,2,16,15.844448206901445,0.008051589999999999,0.00025161218749999997
Psi 6,512,2,32,8.111956572618476,0.008115599999999999,0.0005072249999999999
Psi 6,512,4,8,30.80070508202693,0.01339938,0.0002093653125
Psi 6,512,4,16,16.04278072022579,0.01304025,0.0004075078125
Psi 6,512,4,32,8.169058632678976,0.013219380000000001,0.0008262112500000001
Psi 6,512,8,16,15.821629861522656,0.02962376,0.0009257425
Psi 6,512,8,32,8.062331721476784,0.02997493,0.001873433125
